В каком случае водитель совершит вынужденную остановку?<br><br><ol><li>Остановившись непосредственно перед пешеходным переходом, чтобы уступить дорогу пешеходу</li><li>Остановившись на проезжей части из за технической неисправности транспортного средства</li><li>В обоих перечисленных случаях</li></ol>	"<b>Правильный ответ: 2. Остановившись на проезжей части из за технической неисправности транспортного средства</b><hr>
<b>Правильный ответ: 2</b>
<br/>
            «Вынужденная остановка» - прекращение движения транспортного средства, связанное с его технической неисправностью, опасностью, создаваемой перевозимым грузом, состоянием водителя (пассажира) или появления препятствия на дороге.
(Пункт <a href=""https://www.drom.ru/pdd/pdd/punkt_1_2/#p1_2"" target=""_blank"">1.2</a> ПДД, термин «Вынужденная остановка»)        "
"Сколько полос для движения имеет данная дорога?<br><img src=""https://s.drom.ru/i24227/pdd/tickets/2016/1542608234.jpg""><br><ol><li>Две</li><li>Четыре</li><li>Пять</li></ol>"	"<b>Правильный ответ: 2. Четыре</b><hr>
<b>Правильный ответ: 2</b>
<br/>
            Разделительная полоса делит дорогу на проезжие части. Данная дорога имеет две проезжие части, четыре полосы движения.
(Пункт <a href=""https://www.drom.ru/pdd/pdd/punkt_1_2/#p1_2"" target=""_blank"">1.2</a> ПДД)        "
"Выезжая с грунтовой дороги на перекресток, Вы попадаете:<br><img src=""https://s.drom.ru/i24228/pdd/tickets/2016/1543885595.jpg""><br><ol><li>На главную дорогу</li><li>На равнозначную дорогу, поскольку отсутствуют знаки приоритета</li><li>На равнозначную дорогу, поскольку проезжая часть имеет твердое покрытие перед перекрестком</li></ol>"	"<b>Правильный ответ: 1. На главную дорогу</b><hr>
<b>Правильный ответ: 1</b>
<br/>
            Главной является дорога с покрытием по отношению к грунтовой. Перекрёсток неравнозначный. Вы находитесь на второстепенной дороге, выезжать будете на главную.
(Пункт <a href=""https://www.drom.ru/pdd/pdd/punkt_1_2/#p1_2"" target=""_blank"">1.2</a> термин «Главная дорога»)        "
"Сколько полос для движения имеет проезжая часть данной дороги?<br><img src=""https://s.drom.ru/i24227/pdd/tickets/2016/1542608282.jpg""><br><ol><li>Одну полосу</li><li>Две полосы</li><li>Три полосы</li></ol>"	"<b>Правильный ответ: 2. Две полосы</b><hr>
<b>Правильный ответ: 2</b>
<br/>
            Сплошная линия горизонтальной разметки <a href=""https://www.drom.ru/pdd/pdd/mark_1_1/"" target=""_blank"">1.1</a> применяется часто. Она может быть использована и для распределения транспортных потоков, и для обозначения границ полос. В данном случае она разделяет транспортные потоки одной неширокой проезжей части, на которой, судя по автомобилю, по одной полосе движения в каждом направлении, т.е. две. Мотоциклисты двигаются по одной полосе в два ряда, что им не запрещено.
(«Горизонтальная разметка», пункты <a href=""https://www.drom.ru/pdd/pdd/punkt_1_2/#p1_2"" target=""_blank"">1.2</a>, <a href=""https://www.drom.ru/pdd/pdd/punkt_9_1/#p9_1"" target=""_blank"">9.1</a> ПДД)        "
"Сколько проезжих частей имеет данная дорога?<br><img src=""https://s.drom.ru/i24227/pdd/tickets/2016/1542608303.jpg""><br><ol><li>Одну</li><li>Две</li><li>Четыре</li></ol>"	"<b>Правильный ответ: 1. Одну</b><hr>
<b>Правильный ответ: 1</b>
<br/>
            Данная горизонтальная разметка <a href=""https://www.drom.ru/pdd/pdd/mark_1_3/"" target=""_blank"">1.3</a> не делит дорогу на проезжие части. Поэтому в изображенной ситуации дорога имеет четыре полосы движения - одну проезжую часть.
(Пункт <a href=""https://www.drom.ru/pdd/pdd/punkt_1_2/#p1_2"" target=""_blank"">1.2</a> ПДД термин «Разделительная полоса»)        "
Что называется разрешенной максимальной массой транспортного средства?<br><br><ol><li>Максимально допустимая для перевозки масса груза, установленная предприятием изготовителем</li><li>Масса снаряженного транспортного средства без учета массы водителя, пассажиров и груза, установленная предприятием изготовителем</li><li>Масса снаряженного транспортного средства с грузом, водителем и пассажирами, установленная предприятием изготовителем в качестве максимально допустимой</li></ol>	"<b>Правильный ответ: 3. Масса снаряженного транспортного средства с грузом, водителем и пассажирами, установленная предприятием изготовителем в качестве максимально допустимой</b><hr>
<b>Правильный ответ: 3</b>
<br/>
            Пункт <a href=""https://www.drom.ru/pdd/pdd/punkt_1_2/#p1_2"" target=""_blank"">1.2</a> ПДД термин «Разрешённая максимальная масса».        "
"Главная дорога показана:<br><img src=""https://s.drom.ru/i24227/pdd/tickets/2016/1542608420.jpg""><br><ol><li>Только на левом верхнем рисунке</li><li>На левом верхнем и нижнем рисунках</li><li>На всех рисунках</li></ol>"	"<b>Правильный ответ: 2. На левом верхнем и нижнем рисунках</b><hr>
<b>Правильный ответ: 2</b>
<br/>
            Главная дорога показана на левом верхнем и нижнем рисунках, на которых перед перекрестком имеются знаки приоритета.
На правом верхнем рисунке перед перекрестком установлен знак <a href=""https://www.drom.ru/pdd/pdd/sign_6_8_2/"" target=""_blank"">6.8.2</a> «Тупик», который является информационным знаком, данный перекресток является равнозначным.
(Пункт <a href=""https://www.drom.ru/pdd/pdd/punkt_1_2/#p1_2"" target=""_blank"">1.2</a> термин «Главная дорога». «Дорожные знаки»)        "
Какие транспортные средства относятся к маршрутным транспортным средствам?<br><br><ol><li>Автобусы (в том числе маломестные, междугородние и школьные)</li><li>Автобусы, троллейбусы, трамваи, используемые при осуществлении регулярных перевозок пассажиров и багажа, движущиеся по установленному маршруту с обозначенными местами остановок</li><li>Любые транспортные средства, перевозящие пассажиров и багаж, движущиеся по маршруту с остановками</li></ol>	"<b>Правильный ответ: 2. Автобусы, троллейбусы, трамваи, используемые при осуществлении регулярных перевозок пассажиров и багажа, движущиеся по установленному маршруту с обозначенными местами остановок</b><hr>
<b>Правильный ответ: 2</b>
<br/>
            К маршрутным транспортным средствам относятся – автобусы, троллейбусы, трамваи, используемые при осуществлении регулярных перевозок пассажиров и багажа, движущиеся по установленному маршруту с обозначенными местами остановок
Пункт <a href=""https://www.drom.ru/pdd/pdd/punkt_1_2/#p1_2"" target=""_blank"">1.2</a> ПДД.        "
"Соответствуют ли действия водителя Правилам, если он движется посередине дороги?<br><img src=""https://s.drom.ru/i24228/pdd/tickets/2016/1543885428.jpg""><br><ol><li>Соответствуют</li><li>Соответствуют, если отсутствуют встречные транспортные средства</li><li>Не соответствуют</li></ol>"	"<b>Правильный ответ: 3. Не соответствуют</b><hr>
<b>Правильный ответ: 3</b>
<br/>
            Водитель должен занимать сторону дороги, предназначенную для движения в данном направлении. Так как у нас правостороннее движение, он должен занять правую сторону дороги. Движение посередине дороги является нарушением.
(Пункты <a href=""https://www.drom.ru/pdd/pdd/punkt_1_4/#p1_4"" target=""_blank"">1.4</a>, <a href=""https://www.drom.ru/pdd/pdd/punkt_9_1/#p9_1"" target=""_blank"">9.1</a> ПДД)        "
Что означает термин «Ограниченная видимость»?<br><br><ol><li>Видимость водителем дороги, ограниченная рельефом местности, геометрическими параметрами дороги, растительностью, строениями, сооружениями или другими объектами</li><li>Видимость водителем дороги менее 300 м в условиях тумана, дождя, снегопада, а также в сумерки</li><li>Видимость водителем дороги менее 150 м в ночное время</li><li>Видимость водителем дороги во всех перечисленных случаях</li></ol>	"<b>Правильный ответ: 1. Видимость водителем дороги, ограниченная рельефом местности, геометрическими параметрами дороги, растительностью, строениями, сооружениями или другими объектами</b><hr>
<b>Правильный ответ: 1</b>
<br/>
            «Ограниченная видимость» - видимость водителем дороги в направлении движения, ограниченная рельефом местности, геометрическими параметрами дороги, растительностью, строениями, сооружениями или иными объектами, в том числе транспортными средствами.
(Пункт <a href=""https://www.drom.ru/pdd/pdd/punkt_1_2/"" target=""_blank"">1.2</a> ПДД термин «Ограниченная видимость»)        "
