Что означает термин «Обгон»?<br><br><ol><li>Опережение одного или нескольких транспортных средств, связанное с выездом на полосу (сторону проезжей части), предназначенную для встречного движения, и последующим возвращением на ранее занимаемую полосу (сторону проезжей части)</li><li>Опережение одного или нескольких транспортных средств, связанное с выездом из занимаемой полосы</li><li>Любое опережение одного или нескольких транспортных средств</li></ol>	"<b>Правильный ответ: 1. Опережение одного или нескольких транспортных средств, связанное с выездом на полосу (сторону проезжей части), предназначенную для встречного движения, и последующим возвращением на ранее занимаемую полосу (сторону проезжей части)</b><hr>«Обгон» - опережение одного или нескольких транспортных средств, связанное с выездом на полосу (сторону проезжей части), предназначенную для встречного движения, и последующим возвращением на ранее занимаемую полосу (сторону проезжей части). 
(Пункт <a href=""https://www.drom.ru/pdd/pdd/punkt_1_2/#p1_2"" target=""_blank"">1.2</a> ПДД термин «Обгон»). 
Если рассматривать в контексте термин «Обгон», «Опережение», пункты <a href=""https://www.drom.ru/pdd/pdd/punkt_9_2/#p9_2"" target=""_blank"">9.2</a>, <a href=""https://www.drom.ru/pdd/pdd/punkt_9_3/#p9_3"" target=""_blank"">9.3</a>, раздел 11 «Обгон, опережение, встречный разъезд», то следует вывод: «Обгон можно производить только на дорогах с двусторонним движением, имеющих две или три полосы движения."
"Этот дорожный знак предупреждает:<br><img src=""https://s.drom.ru/i24227/pdd/tickets/2016/1542608628.jpg""><br><ol><li>О приближении к скользкому участку дороги</li><li>О приближении к мокрому или загрязненному участку дороги</li><li>О приближении к участку дороги, где возможен выброс гравия (щебня) из-под колес</li></ol>"	"<b>Правильный ответ: 3. О приближении к участку дороги, где возможен выброс гравия (щебня) из-под колес</b><hr>Предупреждающий знак <a href=""https://www.drom.ru/pdd/pdd/sign_1_18/"" target=""_blank"">1.18</a> «Выброс гравия» устанавливается вне населённого пункта за 150-300 м до опасного участка. При проезде этого участка следует по возможности увеличить интервал и дистанцию между автомобилями, снизить скорость. Летящие щебень, гравий могут «травмировать» лобовое стекло, стёкла фар автомобиля. На наших дорогах это не редкость.
(«Дорожные знаки»)"
"Разрешено ли Вам ставить автомобиль на стоянку в этом месте по четным числам месяца?<br><img src=""https://s.drom.ru/i24228/pdd/tickets/2016/1543885342.jpg""><br><ol><li>Разрешено</li><li>Разрешено только после 21 часа</li><li>Запрещено</li></ol>"	"<b>Правильный ответ: 1. Разрешено</b><hr>Действие запрещающих стоянку знаков начинается от места их установки. Вы же намереваетесь поставить автомобиль на стоянку до знака, т.е. вне его действия. Однозначно разрешено.
(«Дорожные знаки», пункт <a href=""https://www.drom.ru/pdd/pdd/punkt_12_1/#p12_1"" target=""_blank"">12.1</a> ПДД)"
"Какие из указанных знаков информируют о том, что на данной дороге действуют требования Правил, устанавливающие порядок движения в населенных пунктах?<br><img src=""https://s.drom.ru/i24227/pdd/tickets/2016/1542608632.jpg""><br><ol><li>Только А</li><li>А и Б</li><li>Все</li></ol>"	"<b>Правильный ответ: 2. А и Б</b><hr>Знаки «А» и «Б» - <a href=""https://www.drom.ru/pdd/pdd/sign_5_23/"" target=""_blank"">5.23.1</a> и <a href=""https://www.drom.ru/pdd/pdd/sign_5_23/"" target=""_blank"">5.23.2</a> «Начало населённого пункта» (с белым фоном).
(«Дорожные знаки»)"
"В данной ситуации Вы:<br><img src=""https://s.drom.ru/i24228/pdd/tickets/2016/1543885339.jpg""><br><ol><li>Должны остановиться у знака</li><li>Должны остановиться у стоп-линии</li><li>Можете при отсутствии других транспортных средств проехать перекресток без остановки</li></ol>"	"<b>Правильный ответ: 2. Должны остановиться у стоп-линии</b><hr>Знак <a href=""https://www.drom.ru/pdd/pdd/sign_2_5/"" target=""_blank"">2.5</a> «Движение без остановки запрещено» установлен перед пересечением проезжих частей. При наличии стоп-линии (разметка <a href=""https://www.drom.ru/pdd/pdd/mark_1_12/"" target=""_blank"">1.12</a>) запрещается движение без остановки перед стоп-линией.
(«Дорожные знаки», «Горизонтальная разметка»)"
"В каком направлении Вам разрешено движение?<br><img src=""https://s.drom.ru/i24228/pdd/tickets/2016/1543885338.jpg""><br><ol><li>Только налево и в обратном направлении</li><li>Прямо, налево и в обратном направлении</li><li>В любом</li></ol>"	"<b>Правильный ответ: 2. Прямо, налево и в обратном направлении</b><hr>При таком жесте регулировщика со стороны левого бока безрельсовым транспортным средствам разрешается движение во всех направлениях, но при этом должна учитываться «рядность» расположения. С левой полосы можете продолжить движение прямо, налево или развернуться, для движения в обратном направлении.
(Пункты <a href=""https://www.drom.ru/pdd/pdd/punkt_6_10/#p6_10"" target=""_blank"">6.10</a>, <a href=""https://www.drom.ru/pdd/pdd/punkt_8_5/#p8_5"" target=""_blank"">8.5</a> ПДД)"
"Вы намерены остановиться слева у тротуара. В каком случае Вы обязаны включить на автобусе левые указатели поворота?<br><img src=""https://s.drom.ru/i24228/pdd/tickets/2016/1543885337.jpg""><br><ol><li>Перед перестроением</li><li>Перед остановкой</li><li>В обоих перечисленных случаях</li></ol>"	"<b>Правильный ответ: 3. В обоих перечисленных случаях</b><hr>Для остановки с левой стороны дороги по ходу вашего движения необходимо совершить перестроение. Заблаговременное включение левого указателя поворота обязательно. Обязательное его включение и перед остановкой.
Правильный ответ - в обоих перечисленных случаях."
"Вам можно продолжить движение:<br><img src=""https://s.drom.ru/i24228/pdd/tickets/2016/1543885336.jpg""><br><ol><li>Только по траектории А</li><li>По траекториям А или В</li><li>По любой траектории из указанных</li></ol>"	"<b>Правильный ответ: 2. По траекториям А или В</b><hr>Стрелка на знаке <a href=""https://www.drom.ru/pdd/pdd/sign_5_7/"" target=""_blank"">5.7.1</a> «Выезд на дорогу с односторонним движением» указывает направление движения на дороге с односторонним движением. Пересечение дороги не запрещается (траектория «В»). Запрещается поворот налево, т.е. движение во встречном направлении. При повороте направо транспортное средство должно двигаться по возможности ближе к правому краю проезжей части. У Вас такая возможность есть. Можете повернуть по траектории «А».
(Пункт <a href=""https://www.drom.ru/pdd/pdd/punkt_8_6/#p8_6"" target=""_blank"">8.6</a> ПДД, «Дорожные знаки»)"
"Управляя автопоездом, имеющим большую длину, Вы имеете право выполнить разворот:<br><img src=""https://s.drom.ru/i24228/pdd/tickets/2016/1543885335.jpg""><br><ol><li>Только по траектории А</li><li>Только по траектории Б</li><li>По любой траектории из указанных</li></ol>"	"<b>Правильный ответ: 1. Только по траектории А</b><hr>Если при развороте вне перекрестка ширина проезжей части недостаточна для выполнения из крайнего левого положения, его допускается производить от правого края проезжей части (с правой обочины).
Указанный ответ в таблице правильных ответов ГИБДД, является таковым только при одном условии (не оговоренном в вопросе), что ширина проезжей части для данного автопоезда, недостаточна для выполнения разворота из крайнего левого положения.
(Пункт <a href=""https://www.drom.ru/pdd/pdd/punkt_8_11/#p8_11"" target=""_blank"">8.11</a> ПДД)"
В каких из перечисленных случаев разрешается движение в населенных пунктах со скоростью не более 20 км/час?<br><br><ol><li>При движении в жилых зонах и на дворовых территориях</li><li>При движении в велосипедных зонах</li><li>Во всех перечисленных случаях</li></ol>	"<b>Правильный ответ: 3. Во всех перечисленных случаях</b><hr>Во всех перечисленных случаях разрешается движение в населенных пунктах со скоростью не более 20 км/ч.
(Пункт <a href=""https://www.drom.ru/pdd/pdd/punkt_10_2/#p10_2"" target=""_blank"">10.2</a> ПДД)"
